2020-10-29 14:42:24.079 [restartedMain] INFO  o.s.boot.web.embedded.netty.NettyWebServer - Netty started on port(s): 9091
2020-10-29 14:42:24.103 [restartedMain] INFO  program.tiger.sword.BootStrap - Started BootStrap in 5.091 seconds (JVM running for 7.299)
2020-10-29 14:51:26.339 [restartedMain] INFO  program.tiger.sword.BootStrap - Starting BootStrap on TigerLees-computor.local with PID 16096 (/Users/lijh/IdeaProjects/program-all/sword-service/target/classes started by lijh in /Users/lijh/IdeaProjects/program-all)
2020-10-29 14:51:26.353 [restartedMain] INFO  program.tiger.sword.BootStrap - The following profiles are active: application-dev.yml,dev
2020-10-29 14:51:26.545 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-10-29 14:51:26.546 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-10-29 14:51:29.794 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-10-29 14:51:30.865 [restartedMain] INFO  o.s.boot.web.embedded.netty.NettyWebServer - Netty started on port(s): 9091
2020-10-29 14:51:30.927 [restartedMain] INFO  program.tiger.sword.BootStrap - Started BootStrap in 6.37 seconds (JVM running for 8.382)
2020-10-29 14:53:22.027 [restartedMain] INFO  program.tiger.sword.BootStrap - Starting BootStrap on TigerLees-computor.local with PID 17034 (/Users/lijh/IdeaProjects/program-all/sword-service/target/classes started by lijh in /Users/lijh/IdeaProjects/program-all)
2020-10-29 14:53:22.031 [restartedMain] INFO  program.tiger.sword.BootStrap - The following profiles are active: dev
2020-10-29 14:53:22.198 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-10-29 14:53:22.199 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-10-29 14:53:25.506 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-10-29 14:53:25.988 [restartedMain] INFO  o.s.boot.web.embedded.netty.NettyWebServer - Netty started on port(s): 9091
2020-10-29 14:53:26.069 [restartedMain] INFO  program.tiger.sword.BootStrap - Started BootStrap in 5.384 seconds (JVM running for 7.529)
2020-10-29 15:25:09.003 [restartedMain] INFO  program.tiger.sword.BootStrap - Starting BootStrap on TigerLees-computor.local with PID 32391 (/Users/lijh/IdeaProjects/program-all/sword-service/target/classes started by lijh in /Users/lijh/IdeaProjects/program-all)
2020-10-29 15:25:09.009 [restartedMain] INFO  program.tiger.sword.BootStrap - The following profiles are active: dev
2020-10-29 15:25:09.194 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-10-29 15:25:09.194 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-10-29 15:25:11.829 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-10-29 15:25:12.173 [restartedMain] INFO  o.s.boot.web.embedded.netty.NettyWebServer - Netty started on port(s): 9091
2020-10-29 15:25:12.221 [restartedMain] INFO  program.tiger.sword.BootStrap - Started BootStrap in 4.712 seconds (JVM running for 7.844)
2020-10-29 15:42:36.575 [restartedMain] INFO  program.tiger.sword.BootStrap - Starting BootStrap on TigerLees-computor.local with PID 40801 (/Users/lijh/IdeaProjects/program-all/sword-service/target/classes started by lijh in /Users/lijh/IdeaProjects/program-all)
2020-10-29 15:42:36.579 [restartedMain] INFO  program.tiger.sword.BootStrap - The following profiles are active: application-dev.yaml,dev
2020-10-29 15:42:36.861 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-10-29 15:42:36.861 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-10-29 15:42:39.701 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-10-29 15:42:40.157 [restartedMain] INFO  o.s.boot.web.embedded.netty.NettyWebServer - Netty started on port(s): 9091
2020-10-29 15:42:40.240 [restartedMain] INFO  program.tiger.sword.BootStrap - Started BootStrap in 5.09 seconds (JVM running for 7.413)
